date,steps,distance,runDistance,calories
11/11/2021,2821,1995,144,62
12/11/2021,10629,7876,583,263
13/11/2021,4358,3012,282,105
14/11/2021,1901,1384,87,44
15/11/2021,7702,5500,300,174
16/11/2021,3901,2737,134,84
17/11/2021,6744,4696,410,147
18/11/2021,9303,6636,391,216
19/11/2021,5644,4055,234,127
20/11/2021,0,0,0,0
21/11/2021,5898,4195,220,135
22/11/2021,4375,3184,285,103
23/11/2021,6454,4525,208,144
24/11/2021,8361,5991,489,195
25/11/2021,6451,4554,285,198
26/11/2021,3540,2480,157,107
27/11/2021,4299,3021,170,121
28/11/2021,7381,5221,263,230
29/11/2021,7122,4987,204,231
30/11/2021,8785,6369,437,493
01/12/2021,6019,4260,202,651
02/12/2021,1686,1141,218,40
03/12/2021,3803,2937,541,180
04/12/2021,7574,5253,296,200
05/12/2021,4887,3614,414,295
06/12/2021,3729,2587,161,105
07/12/2021,13829,9938,656,478
08/12/2021,2770,1879,118,68
09/12/2021,10393,7374,338,314
10/12/2021,7385,5124,457,218
11/12/2021,134,89,22,3
12/12/2021,4351,3065,118,124
13/12/2021,5583,3913,218,158
14/12/2021,7758,5569,211,302
15/12/2021,4864,3378,216,135
16/12/2021,5904,6565,478,467
17/12/2021,6875,4846,244,212
18/12/2021,14920,10893,546,467
19/12/2021,3587,2586,94,122
20/12/2021,8358,5867,248,261
21/12/2021,5736,4011,205,179
22/12/2021,10142,7043,673,237
23/12/2021,1673,1117,171,37
24/12/2021,6330,4721,209,229
25/12/2021,1450,965,97,31
26/12/2021,3553,2364,344,80
27/12/2021,1101,732,68,21
28/12/2021,1607,1069,93,35
29/12/2021,5731,4069,437,164
30/12/2021,3848,2753,221,121
31/12/2021,1232,822,59,24
01/01/2022,1508,1003,196,33
02/01/2022,2512,2331,675,105
03/01/2022,6916,5088,332,270
04/01/2022,8836,5970,539,193
05/01/2022,10383,7478,515,694
06/01/2022,6855,5122,632,265
07/01/2022,7611,5455,190,251
08/01/2022,6033,4210,189,200
09/01/2022,6316,4392,262,190
10/01/2022,6701,4704,378,173
11/01/2022,2756,1863,250,64
12/01/2022,1642,1323,275,55
13/01/2022,4203,2940,335,115
14/01/2022,4354,3060,166,118
15/01/2022,2488,1738,106,53
16/01/2022,5585,3881,434,142
17/01/2022,13834,10299,586,499
18/01/2022,7136,5467,2154,1139
19/01/2022,4234,2913,322,103
20/01/2022,7728,5385,393,217
21/01/2022,4102,2825,245,103
22/01/2022,4866,3340,427,131
23/01/2022,2422,1649,156,63
24/01/2022,6253,4320,317,191
25/01/2022,5860,4103,416,156
26/01/2022,3610,2517,218,106
27/01/2022,5199,3658,285,158
28/01/2022,11133,7627,667,294
29/01/2022,6552,4497,246,167
30/01/2022,31,21,0,1
31/01/2022,9499,6703,287,284
01/02/2022,11685,8296,611,373
02/02/2022,6677,4672,454,199
03/02/2022,4945,3494,264,142
04/02/2022,5059,3525,253,143
05/02/2022,5495,3759,333,134
06/02/2022,6240,4263,279,163
07/02/2022,9390,6612,312,331
08/02/2022,7606,5368,463,223
09/02/2022,3111,2160,89,96
10/02/2022,3130,2162,279,88
11/02/2022,7372,5229,382,235
12/02/2022,6880,4870,365,215
13/02/2022,2438,1664,121,67
14/02/2022,7179,5028,501,200
15/02/2022,6342,4384,254,175
16/02/2022,5161,3642,255,152
17/02/2022,5269,3650,243,155
18/02/2022,3632,2470,259,107
19/02/2022,2599,1796,127,82
20/02/2022,6832,4751,273,200
21/02/2022,7486,5176,427,202
22/02/2022,7566,5247,619,202
23/02/2022,5232,3637,352,141
24/02/2022,5032,3520,253,153
25/02/2022,10463,7376,419,318
