date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps,,,,,,,,,,,,,,,
11/11/2021,0,0,0,2021-11-09 21:00:00+0000,2021-11-09 21:00:00+0000,0,,,,,,,,,,,,,,,,
12/11/2021,61,400,2,2021-11-11 19:52:00+0000,2021-11-12 04:11:00+0000,36,,,,,,,,,,,,,,,,
13/11/2021,0,0,0,2021-11-11 21:00:00+0000,2021-11-11 21:00:00+0000,0,"[{\start\"":\""2019-04-14 00:36:13+0000\""","\""end\"":\""2019-04-14 00:37:06+0000\""}]""",,,,,,,,,,,,,,
14/11/2021,0,0,0,2021-11-12 21:00:00+0000,2021-11-12 21:00:00+0000,0,,,,,,,,,,,,,,,,
15/11/2021,64,290,59,2021-11-14 18:26:00+0000,2021-11-15 02:31:00+0000,72,,,,,,,,,,,,,,,,
16/11/2021,60,422,7,2021-11-15 19:11:00+0000,2021-11-16 04:06:00+0000,46,,,,,,,,,,,,,,,,
17/11/2021,34,267,0,2021-11-16 19:27:00+0000,2021-11-17 01:40:00+0000,72,"[{\start\"":\""2019-04-14 00:38:08+0000\""","\""end\"":\""2019-04-14 00:38:37+0000\""}]""",,,,,,,,,,,,,,
18/11/2021,72,198,12,2021-11-17 19:35:00+0000,2021-11-18 01:48:00+0000,91,,,,,,,,,,,,,,,,
19/11/2021,98,359,0,2021-11-18 19:52:00+0000,2021-11-19 04:06:00+0000,37,,,,,,,,,,,,,,,,
20/11/2021,0,0,0,2021-11-18 21:00:00+0000,2021-11-18 21:00:00+0000,0,,,,,,,,,,,,,,,,
21/11/2021,0,0,0,2021-11-19 21:00:00+0000,2021-11-19 21:00:00+0000,0,,,,,,,,,,,,,,,,
22/11/2021,54,396,0,2021-11-21 19:49:00+0000,2021-11-22 04:09:00+0000,50,,,,,,,,,,,,,,,,
23/11/2021,52,254,0,2021-11-22 20:09:00+0000,2021-11-23 02:01:00+0000,46,,,,,,,,,,,,,,,,
24/11/2021,16,169,0,2021-11-23 21:16:00+0000,2021-11-24 00:44:00+0000,23,,,,,,,,,,,,,,,,
25/11/2021,57,325,7,2021-11-24 19:25:00+0000,2021-11-25 02:35:00+0000,41,,,,,,,,,,,,,,,,
26/11/2021,57,348,61,2021-11-25 19:22:00+0000,2021-11-26 04:23:00+0000,75,"[{\start\"":\""2019-04-14 00:38:20+0000\""","\""end\"":\""2019-04-14 00:39:05+0000\""}]""",,,,,,,,,,,,,,
27/11/2021,70,329,30,2021-11-26 21:26:00+0000,2021-11-27 06:03:00+0000,88,,,,,,,,,,,,,,,,
28/11/2021,104,302,37,2021-11-27 19:37:00+0000,2021-11-28 04:42:00+0000,102,,,,,,,,,,,,,,,,
29/11/2021,27,198,0,2021-11-28 21:38:00+0000,2021-11-29 02:16:00+0000,53,,,,,,,,,,,,,,,,
30/11/2021,75,341,2,2021-11-29 20:32:00+0000,2021-11-30 04:01:00+0000,31,,,,,,,,,,,,,,,,
01/12/2021,0,0,0,2021-11-29 21:00:00+0000,2021-11-29 21:00:00+0000,0,"[{\start\"":\""2019-04-14 00:40:46+0000\""","\""end\"":\""2019-04-14 00:41:11+0000\""}]""",,,,,,,,,,,,,,
02/12/2021,55,510,0,2021-12-01 18:55:00+0000,2021-12-02 05:26:00+0000,66,,,,,,,,,,,,,,,,
03/12/2021,34,215,0,2021-12-02 23:09:00+0000,2021-12-03 04:56:00+0000,98,,,,,,,,,,,,,,,,
04/12/2021,0,0,0,2021-12-02 21:00:00+0000,2021-12-02 21:00:00+0000,0,,,,,,,,,,,,,,,,
05/12/2021,17,57,1,2021-12-04 20:52:00+0000,2021-12-04 22:22:00+0000,15,,,,,,,,,,,,,,,,
06/12/2021,42,319,0,2021-12-05 21:54:00+0000,2021-12-06 04:22:00+0000,27,,,,,,,,,,,,,,,,
07/12/2021,70,385,13,2021-12-06 20:02:00+0000,2021-12-07 05:02:00+0000,72,,,,,,,,,,,,,,,,
08/12/2021,0,61,0,2021-12-08 02:35:00+0000,2021-12-08 03:43:00+0000,7,,,,,,,,,,,,,,,,
09/12/2021,17,259,0,2021-12-08 21:00:00+0000,2021-12-09 01:53:00+0000,17,,,,,,,,,,,,,,,,
10/12/2021,71,391,2,2021-12-09 19:19:00+0000,2021-12-10 04:05:00+0000,62,,,,,,,,,,,,,,,,
11/12/2021,57,180,2,2021-12-10 21:31:00+0000,2021-12-11 02:22:00+0000,52,,,,,,,,,,,,,,,,
12/12/2021,0,0,0,2021-12-10 21:00:00+0000,2021-12-10 21:00:00+0000,0,,,,,,,,,,,,,,,,
13/12/2021,128,431,4,2021-12-12 19:20:00+0000,2021-12-13 05:43:00+0000,60,,,,,,,,,,,,,,,,
14/12/2021,39,189,145,2021-12-13 20:07:00+0000,2021-12-14 05:27:00+0000,187,,,,,,,,,,,,,,,,
